syssoftware,OS,DBMS,DAA,ML,DBMSLab,DAALab,OSLab,name,rollno
86,79,81,79,86,79,86,81,Siddhartha Shinde,21097
77,57,62,57,77,57,77,62,Priyal Mehta,21098
79,92,91,92,79,92,79,91,Khushi Verma,21099
44,56,61,56,44,56,44,61,Tanya Joshi,21100
90,87,86,87,90,87,90,86,Riya Kapoor,21101
66,58,59,58,66,58,66,59,Tammanna Bhatia,21102
77,92,88,92,77,92,77,88,Mukul Kala,21103
77,74,76,74,77,74,77,76,Manpreet Kaur,21104
88,95,92,95,88,95,88,92,Ayushi Negi,21105
90,74,68,74,90,74,90,68,Ayushi Chandana,21106
67,82,81,82,67,82,67,81,Vandita Pujari,21107
47,69,59,69,47,69,47,59,Ayaan Kakkar,21108
86,90,96,90,86,90,86,96,Kashish Kakar,21109
69,60,63,60,69,60,69,63,Jadu Yadav,21110
71,83,76,83,71,83,71,76,Narendra Modi,21111
62,71,67,71,62,71,62,67,Amit Shah,21112
54,76,77,76,54,76,54,77,Rajnath,21113
52,71,77,71,52,71,52,77,Kangana Ranaut,21114
62,63,65,63,62,63,62,65,Justin Kaur,21115
77,73,69,73,77,73,77,69,selena Gomez,21116
79,86,83,86,79,86,79,83,Salmaan Khan,21117
74,80,83,80,74,80,74,83,Deepika Kakkar,21118
65,77,73,77,65,77,65,73,Kabir Singh,21119
81,77,77,77,81,77,81,77,Preeti Chawla,21120
46,55,53,55,46,55,46,53,Prakash Jha,21121
66,62,68,62,66,62,66,68,Vandita Pandit,21122
54,51,43,51,54,51,54,43,Tanya Joshi,21123
74,70,75,70,74,70,74,75,Riya Kapoor,21124
63,69,73,69,63,69,63,73,Tammanna Bhatia,21125
78,84,88,84,78,84,78,88,Mukul Kala,21126
52,57,54,57,52,57,52,54,Manpreet Kaur,21127
58,68,68,68,58,68,58,68,Isha Rawat,21128
77,75,75,75,77,75,77,75,Aarav Jain,21129
92,86,85,86,92,86,92,85,Kabir Wadhwa,21130
77,82,87,82,77,82,77,87,Ayaan Malhotra,21131
77,83,86,83,77,83,77,86,Vikrant Mehta,21132
44,59,62,59,44,59,44,62,Saisha Mehra,21133
58,65,62,65,58,65,58,62,Saumya Baluni,21134
70,78,79,78,70,78,70,79,Pankaj Uniyal,21135
43,41,39,41,43,41,43,39,Siddhartha Shinde,21136
39,44,53,44,39,44,39,53,Yash Pandey,21137
72,85,78,85,72,85,72,78,Ankita Baluni,21138
80,90,84,90,80,90,80,84,Aruhi Rautela,21139
60,69,66,69,60,69,60,66,Ankush Rawat,21140
54,64,66,64,54,64,54,66,Sarim Saifi,21141
67,76,72,76,67,76,67,72,Mayank Jain,21142
57,52,53,52,57,52,57,53,Mudit Pathak,21143
50,58,57,58,50,58,50,57,Tara Sutaria,21144
44,39,35,39,44,39,44,35,Ranbir Kapoor,21145
94,77,81,77,94,77,94,81,Allia Bhatt,21146
37,59,59,59,37,59,37,59,Aalia Verma,21147
94,87,91,87,94,87,94,91,Aryan Chauhan,21148
62,78,79,78,62,78,62,79,Kush Johar,21149
59,69,68,69,59,69,59,68,Love Singh,21150
79,82,77,82,79,82,79,77,Krinka Johar,21151
100,95,99,95,100,95,100,99,Jasmine Bhasin,21152
84,79,84,79,84,79,84,84,Ayush Pandey,21153
54,62,53,62,54,62,54,53,Kanupriya  Modi,21154
59,63,62,63,59,63,59,62,Priyal Mehta,21155
77,92,97,92,77,92,77,97,Khushi Verma,21156
64,67,70,67,64,67,64,70,Tanya Joshi,21157
53,55,49,55,53,55,53,49,Riya Kapoor,21158
85,80,78,80,85,80,85,78,Tammanna Bhatia,21159
82,72,69,72,82,72,82,69,Mukul Kala,21160
76,84,80,84,76,84,76,80,Manpreet Kaur,21161
39,54,59,54,39,54,39,59,Ayushi Negi,21162
51,61,57,61,51,61,51,57,Ayushi Chandana,21163
60,59,55,59,60,59,60,55,Ayushi Rawat,21164
59,69,76,69,59,69,59,76,Ayushi Rautela,21165
89,94,89,94,89,94,89,89,Ayushi Verma,21166
65,79,86,79,65,79,65,86,Ayush Pandey,21167
70,68,67,68,70,68,70,67,Ayush Verma,21168
52,64,56,64,52,64,52,56,Akshansh Arora,21169
70,74,70,74,70,74,70,70,Saksham Bisht,21170
71,66,68,66,71,66,71,68,Mahima Rawat,21171
67,72,62,72,67,72,67,62,Isha Rawat,21172
74,88,81,88,74,88,74,81,Aarav Jain,21173
67,66,59,66,67,66,67,59,Kabir Wadhwa,21174
67,86,88,86,67,86,67,88,Ayaan Malhotra,21175
81,77,71,77,81,77,81,71,Vikrant Mehta,21176
93,100,100,100,93,100,93,100,Saisha Mehra,21177
65,62,60,62,65,62,65,60,Saumya Baluni,21178
62,68,61,68,62,68,62,61,Pankaj Uniyal,21179
97,93,90,93,97,93,97,90,Siddhartha Shinde,21180
75,74,66,74,75,74,75,66,Priyal Mehta,21181
58,68,70,68,58,68,58,70,Khushi Verma,21182
63,84,85,84,63,84,63,85,Tanya Joshi,21183
70,80,82,80,70,80,70,82,Riya Kapoor,21184
74,53,55,53,74,53,74,55,Tammanna Bhatia,21185
70,66,65,66,70,66,70,65,Mukul Kala,21186
60,56,44,56,60,56,60,44,Manpreet Kaur,21187
68,60,56,60,68,60,68,56,Ayushi Negi,21188
81,85,77,85,81,85,81,77,Ayushi Chandana,21189
78,89,87,89,78,89,78,87,Vandita Pujari,21190
80,74,77,74,80,74,80,77,Ayaan Kakkar,21191
76,67,61,67,76,67,76,61,Kashish Kakar,21192
60,64,64,64,60,64,60,64,Jadu Yadav,21193
61,65,65,65,61,65,61,65,Narendra Modi,21194
62,75,71,75,62,75,62,71,Amit Shah,21195
54,61,62,61,54,61,54,62,Rajnath,21196
41,56,51,56,41,56,41,51,Kangana Ranaut,21197
76,72,74,72,76,72,76,74,Justin Kaur,21198
80,73,76,73,80,73,80,76,selena Gomez,21199
62,68,62,68,62,68,62,62,Salmaan Khan,21200
52,48,44,48,52,48,52,44,Deepika Kakkar,21201
64,63,58,63,64,63,64,58,Kabir Singh,21202
42,52,46,52,42,52,42,46,Preeti Chawla,21203
84,78,73,78,84,78,84,73,Prakash Jha,21204
40,67,60,67,40,67,40,60,Vandita Pandit,21205
78,73,76,73,78,73,78,76,Tanya Joshi,21206
78,77,77,77,78,77,78,77,Riya Kapoor,21207
75,73,68,73,75,73,75,68,Tammanna Bhatia,21208
64,85,82,85,64,85,64,82,Mukul Kala,21209
76,78,84,78,76,78,76,84,Manpreet Kaur,21210
74,83,84,83,74,83,74,84,Ayushi Negi,21211
82,89,87,89,82,89,82,87,Ayushi Chandana,21212
70,85,87,85,70,85,70,87,Ayushi Rawat,21213
87,84,77,84,87,84,87,77,Ayushi Rautela,21214
72,72,70,72,72,72,72,70,Ayushi Verma,21215
68,71,78,71,68,71,68,78,Ayush Pandey,21216
58,67,64,67,58,67,58,64,Ayush Verma,21217
100,100,100,100,100,100,100,100,Akshansh Arora,21218
50,46,45,46,50,46,50,45,Saksham Bisht,21219
87,70,81,70,87,70,87,81,Mahima Rawat,21220
68,76,71,76,68,76,68,71,Isha Rawat,21221
63,82,75,82,63,82,63,75,Aarav Jain,21222
70,76,75,76,70,76,70,75,Kabir Wadhwa,21223
87,82,70,82,87,82,87,70,Ayaan Malhotra,21224
71,84,82,84,71,84,71,82,Siddhartha Shinde,21225
41,45,45,45,41,45,41,45,Priyal Mehta,21226
85,85,88,85,85,85,85,88,Khushi Verma,21227
56,80,79,80,56,80,56,79,Tanya Joshi,21228
63,62,60,62,63,62,63,60,Riya Kapoor,21229
63,63,54,63,63,63,63,54,Tammanna Bhatia,21230
71,64,57,64,71,64,71,57,Mukul Kala,21231
23,36,32,36,23,36,23,32,Manpreet Kaur,21232
90,92,90,92,90,92,90,90,Ayushi Negi,21233
78,76,79,76,78,76,78,79,Ayushi Chandana,21234
67,65,67,65,67,65,67,67,Vandita Pujari,21235
74,68,66,68,74,68,74,66,Ayaan Kakkar,21236
61,77,77,77,61,77,61,77,Kashish Kakar,21237
80,83,75,83,80,83,80,75,Jadu Yadav,21238
80,86,83,86,80,86,80,83,Narendra Modi,21239
63,73,72,73,63,73,63,72,Amit Shah,21240
59,75,77,75,59,75,59,77,Rajnath,21241
89,89,91,89,89,89,89,91,Kangana Ranaut,21242
64,71,80,71,64,71,64,80,Justin Kaur,21243
87,80,81,80,87,80,87,81,selena Gomez,21244
58,61,53,61,58,61,58,53,Salmaan Khan,21245
58,65,64,65,58,65,58,64,Deepika Kakkar,21246
65,72,70,72,65,72,65,70,Kabir Singh,21247
59,70,75,70,59,70,59,75,Preeti Chawla,21248
79,78,71,78,79,78,79,71,Prakash Jha,21249
77,87,87,87,77,87,77,87,Vandita Pandit,21250
85,82,82,82,85,82,85,82,Tanya Joshi,21251
37,47,42,47,37,47,37,42,Riya Kapoor,21252
43,31,28,31,43,31,43,28,Tammanna Bhatia,21253
78,65,54,65,78,65,78,54,Mukul Kala,21254
49,67,71,67,49,67,49,71,Manpreet Kaur,21255
68,84,79,84,68,84,68,79,Mannat Kaur,21256
58,59,59,59,58,59,58,59,anshika Chawla,21257
63,68,64,68,63,68,63,64,Ranveer Singh,21258
68,69,76,69,68,69,68,76,Bhagwaan Singh,21259
79,83,80,83,79,83,79,80,Bahadur Singh,21260
75,86,90,86,75,86,75,90,Arav Pandit,21261
78,76,82,76,78,76,78,82,Suyash Singh,21262
87,76,80,76,87,76,87,80,Mayank Bhardwaj,21263
64,80,84,80,64,80,64,84,Chaaru Madan,21264
62,77,70,77,62,77,62,70,Anirudh Madan,21265
48,50,48,50,48,50,48,48,Ayush Verma,21266
83,78,81,78,83,78,83,81,Ayush rawat,21267
75,93,91,93,75,93,75,91,Ayush Chawla,21268
49,51,45,51,49,51,49,45,Ayush Madan,21269
46,56,43,56,46,56,46,43,Ayush Chandana,21270
71,60,62,60,71,60,71,62,Ayush Kakkar,21271
61,64,65,64,61,64,61,65,Ayush Pandit,21272
64,77,74,77,64,77,64,74,Ayush Kapoor,21273
92,84,85,84,92,84,92,85,Vamika Kohli,21274
62,73,77,73,62,73,62,77,Anushka Sharma,21275
91,90,93,90,91,90,91,93,Anushka Jain,21276
71,70,74,70,71,70,71,74,Anushka Pandey,21277
94,93,87,93,94,93,94,87,Anush Kala,21278
64,60,62,60,64,60,64,62,Amit Trivedi,21279
34,47,42,47,34,47,34,42,Sahap Kapoor,21280
73,63,63,63,73,63,73,63,Sapna Gupta,21281
82,92,97,92,82,92,82,97,Shubhangi Gaur,21282
70,68,76,68,70,68,70,76,Shammi Singh,21283
46,57,52,57,46,57,46,52,Bumrah,21284
70,61,63,61,70,61,70,63,Hardik Pandya,21285
40,43,42,43,40,43,40,42,Sachin Tendulakr,21286
76,73,69,73,76,73,76,69,Virat Kohli,21287
51,65,68,65,51,65,51,68,Kareena,21288
77,92,91,92,77,92,77,91,Karishma Shetty,21289
60,57,61,57,60,57,60,61,Shilpa Shetty,21290
73,67,63,67,73,67,73,63,Raj Kundra,21291
75,81,78,81,75,81,75,78,Kavita Seth,21292
78,87,85,87,78,87,78,85,Manik ,21293
62,68,73,68,62,68,62,73,Akansha Gaur,21294
87,73,78,73,87,73,87,78,Ananya Gaur,21295
72,84,79,84,72,84,72,79,Kamal Kahn,21296
47,40,40,40,47,40,47,40,Raju ,21297
52,73,71,73,52,73,52,71,Shammi Singh,21298
100,91,93,91,100,91,100,93,Kanupriya  Modi,21299
53,60,57,60,53,60,53,57,Tammanna Bhatia,21300
36,40,40,40,36,40,36,40,Mukul Kala,21301
68,77,77,77,68,77,68,77,Manpreet Kaur,21302
41,48,43,48,41,48,41,43,Ayushi Negi,21303
54,57,54,57,54,57,54,54,Ayushi Chandana,21304
75,76,74,76,75,76,75,74,Vandita Pujari,21305
49,57,62,57,49,57,49,62,Ayaan Kakkar,21306
29,15,22,15,29,15,29,22,Kashish Kakar,21307
69,80,77,80,69,80,69,77,Jadu Yadav,21308
55,60,57,60,55,60,55,57,Narendra Modi,21309
73,65,63,65,73,65,73,63,Amit Shah,21310
79,74,64,74,79,74,79,64,Rajnath,21311
45,54,51,54,45,54,45,51,Kangana Ranaut,21312
52,55,54,55,52,55,52,54,Justin Kaur,21313
68,64,62,64,68,64,68,62,selena Gomez,21314
77,72,70,72,77,72,77,70,Salmaan Khan,21315
79,90,90,90,79,90,79,90,Deepika Kakkar,21316
79,69,72,69,79,69,79,72,Kabir Singh,21317
65,65,65,65,65,65,65,65,Preeti Chawla,21318
76,69,63,69,76,69,76,63,Mukul Kala,21319
81,89,88,89,81,89,81,88,Manpreet Kaur,21320
51,62,62,62,51,62,51,62,Ayushi Negi,21321
77,80,91,80,77,80,77,91,Ayushi Chandana,21322
67,84,84,84,67,84,67,84,Vandita Pujari,21323
60,60,54,60,60,60,60,54,Ayaan Kakkar,21324
39,54,55,54,39,54,39,55,Kashish Kakar,21325
80,80,87,80,80,80,80,87,Jadu Yadav,21326
79,77,78,77,79,77,79,78,Narendra Modi,21327
63,65,58,65,63,65,63,58,Amit Shah,21328
38,57,53,57,38,57,38,53,Rajnath,21329
71,84,87,84,71,84,71,87,Kangana Ranaut,21330
72,75,68,75,72,75,72,68,Justin Kaur,21331
45,60,54,60,45,60,45,54,selena Gomez,21332
84,66,67,66,84,66,84,67,Salmaan Khan,21333
86,79,79,79,86,79,86,79,Deepika Kakkar,21334
63,62,65,62,63,62,63,65,Kabir Singh,21335
56,62,61,62,56,62,56,61,Preeti Chawla,21336
61,77,67,77,61,77,61,67,Prakash Jha,21337
69,56,56,56,69,56,69,56,Vandita Pandit,21338
69,67,67,67,69,67,69,67,Tanya Joshi,21339
50,51,48,51,50,51,50,48,Riya Kapoor,21340
36,34,26,34,36,34,36,26,Tammanna Bhatia,21341
84,75,72,75,84,75,84,72,Mukul Kala,21342
90,98,94,98,90,98,90,94,Manpreet Kaur,21343
72,66,70,66,72,66,72,70,Ayushi Negi,21344
62,71,66,71,62,71,62,66,Ayushi Chandana,21345
79,75,72,75,79,75,79,72,Ayushi Rawat,21346
63,56,60,56,63,56,63,60,Ayushi Rautela,21347
78,61,61,61,78,61,78,61,Ayushi Verma,21348
41,47,56,47,41,47,41,56,Ayush Pandey,21349
84,91,92,91,84,91,84,92,Ayush Verma,21350
70,65,64,65,70,65,70,64,Akshansh Arora,21351
73,85,87,85,73,85,73,87,Saksham Bisht,21352
85,73,74,73,85,73,85,74,Mahima Rawat,21353
78,74,78,74,78,74,78,78,Isha Rawat,21354
73,65,65,65,73,65,73,65,Aarav Jain,21355
66,78,69,78,66,78,66,69,Kabir Wadhwa,21356
52,47,53,47,52,47,52,53,Ayaan Malhotra,21357
59,53,47,53,59,53,59,47,Siddhartha Shinde,21358
77,81,83,81,77,81,77,83,Priyal Mehta,21359
80,68,74,68,80,68,80,74,Khushi Verma,21360
66,79,74,79,66,79,66,74,Tanya Joshi,21361
50,68,63,68,50,68,50,63,Riya Kapoor,21362
71,66,63,66,71,66,71,63,Tammanna Bhatia,21363
62,77,66,77,62,77,62,66,Mukul Kala,21364
92,96,97,96,92,96,92,97,Manpreet Kaur,21365
62,71,67,71,62,71,62,67,Isha Rawat,21366
65,67,69,67,65,67,65,69,Aarav Jain,21367
81,82,86,82,81,82,81,86,Kabir Wadhwa,21368
68,77,81,77,68,77,68,81,Ayaan Malhotra,21369
38,35,37,35,38,35,38,37,#NAME?,21370
74,79,69,79,74,79,74,69,Saisha Mehra,21371
86,83,72,83,86,83,86,72,Saumya Baluni,21372
76,68,64,68,76,68,76,64,Pankaj Uniyal,21373
62,66,65,66,62,66,62,65,Siddhartha Shinde,21374
75,82,80,82,75,82,75,80,Yash Pandey,21375
91,100,100,100,91,100,91,100,Ankita Baluni,21376
86,84,76,84,86,84,86,76,Aruhi Rautela,21377
74,87,91,87,74,87,74,91,Ankush Rawat,21378
72,69,65,69,72,69,72,65,Sarim Saifi,21379
89,100,100,100,89,100,89,100,Mayank Jain,21380
82,67,69,67,82,67,82,69,Mudit Pathak,21381
83,90,83,90,83,90,83,83,Tara Sutaria,21382
65,72,71,72,65,72,65,71,Ranbir Kapoor,21383
80,71,67,71,80,71,80,67,Allia Bhatt,21384
94,79,79,79,94,79,94,79,Aalia Verma,21385
64,69,70,69,64,69,64,70,Aryan Chauhan,21386
33,47,54,47,33,47,33,54,Kush Johar,21387
61,58,62,58,61,58,61,62,Love Singh,21388
40,54,46,54,40,54,40,46,Krinka Johar,21389
64,61,63,61,64,61,64,63,Jasmine Bhasin,21390
80,93,94,93,80,93,80,94,Ayush Pandey,21391
73,76,72,76,73,76,73,72,Kanupriya  Modi,21392
86,79,75,79,86,79,86,75,#NAME?,21393
85,79,72,79,85,79,85,72,Khushi Verma,21394
48,52,50,52,48,52,48,50,Tanya Joshi,21395
69,80,86,80,69,80,69,86,Riya Kapoor,21396
58,81,80,81,58,81,58,80,Tammanna Bhatia,21397
89,90,85,90,89,90,89,85,Rahul Gandhi,21398
69,76,65,76,69,76,69,65,Sonia Gandh,21399
72,82,80,82,72,82,72,80,Priyanka Gandhi,21400
50,59,53,59,50,59,50,53,Priyanka Chopra,21401
77,82,76,82,77,82,77,76,Rahul Wadra,21402
59,63,56,63,59,63,59,56,Kiran Wadra,21403
67,75,80,75,67,75,67,80,Isha Rawat,21404
54,43,37,43,54,43,54,37,Aarav Jain,21405
87,86,91,86,87,86,87,91,Kabir Wadhwa,21406
41,47,50,47,41,47,41,50,Ayaan Malhotra,21407
78,77,78,77,78,77,78,78,Vikrant Mehta,21408
66,75,87,75,66,75,66,87,Saisha Mehra,21409
63,71,74,71,63,71,63,74,Saumya Baluni,21410
49,60,65,60,49,60,49,65,Pankaj Uniyal,21411
71,81,74,81,71,81,71,74,Siddhartha Shinde,21412
100,93,92,93,100,93,100,92,Yash Pandey,21413
80,94,92,94,80,94,80,92,Ankita Baluni,21414
67,77,77,77,67,77,67,77,Aruhi Rautela,21415
62,74,68,74,62,74,62,68,Ankush Rawat,21416
54,54,51,54,54,54,54,51,Sarim Saifi,21417
82,84,80,84,82,84,82,80,Mayank Jain,21418
48,65,68,65,48,65,48,68,Mudit Pathak,21419
87,92,90,92,87,92,87,90,Tara Sutaria,21420
44,48,43,48,44,48,44,43,Ranbir Kapoor,21421
56,68,66,68,56,68,56,66,Allia Bhatt,21422
91,96,93,96,91,96,91,93,Aalia Verma,21423
65,83,83,83,65,83,65,83,Aryan Chauhan,21424
88,96,93,96,88,96,88,93,Priyal Mehta,21425
77,73,63,73,77,73,77,63,Khushi Verma,21426
77,84,78,84,77,84,77,78,Tanya Joshi,21427
47,54,47,54,47,54,47,47,Riya Kapoor,21428
90,90,87,90,90,90,90,87,Tammanna Bhatia,21429
48,47,44,47,48,47,48,44,Rahul Gandhi,21430
65,67,67,67,65,67,65,67,Sonia Gandh,21431
84,59,70,59,84,59,84,70,Priyanka Gandhi,21432
88,93,99,93,88,93,88,99,Priyanka Chopra,21433
87,75,75,75,87,75,87,75,Rahul Wadra,21434
92,100,100,100,92,100,92,100,Kiran Wadra,21435
61,79,78,79,61,79,61,78,Isha Rawat,21436
71,58,51,58,71,58,71,51,Aarav Jain,21437
73,74,79,74,73,74,73,79,Kabir Wadhwa,21438
57,50,49,50,57,50,57,49,Ayaan Malhotra,21439
84,82,79,82,84,82,84,79,Vikrant Mehta,21440
39,29,32,29,39,29,39,32,Saisha Mehra,21441
83,84,86,84,83,84,83,86,Saumya Baluni,21442
59,55,58,55,59,55,59,58,Pankaj Uniyal,21443
61,71,73,71,61,71,61,73,Siddhartha Shinde,21444
90,97,100,97,90,97,90,100,Yash Pandey,21445
70,73,74,73,70,73,70,74,Ankita Baluni,21446
42,55,49,55,42,55,42,49,Vikrant Mehta,21447
87,100,95,100,87,100,87,95,Saisha Mehra,21448
72,77,83,77,72,77,72,83,Saumya Baluni,21449
73,70,70,70,73,70,73,70,Pankaj Uniyal,21450
42,38,34,38,42,38,42,34,Siddhartha Shinde,21451
66,78,82,78,66,78,66,82,Yash Pandey,21452
55,68,73,68,55,68,55,73,Ankita Baluni,21453
74,70,62,70,74,70,74,62,Aruhi Rautela,21454
66,78,82,78,66,78,66,82,Ankush Rawat,21455
62,65,68,65,62,65,62,68,Sarim Saifi,21456
72,72,71,72,72,72,72,71,Mayank Jain,21457
69,71,76,71,69,71,69,76,Mudit Pathak,21458
52,57,56,57,52,57,52,56,Tara Sutaria,21459
86,82,76,82,86,82,86,76,Ranbir Kapoor,21460
63,79,78,79,63,79,63,78,Allia Bhatt,21461
86,74,74,74,86,74,86,74,Aalia Verma,21462
89,69,63,69,89,69,89,63,Aryan Chauhan,21463
60,56,60,56,60,56,60,60,Kush Johar,21464
77,84,85,84,77,84,77,85,Love Singh,21465
54,55,67,55,54,55,54,67,Krinka Johar,21466
39,50,47,50,39,50,39,47,Jasmine Bhasin,21467
77,72,69,72,77,72,77,69,Tanish Pant,21468
73,61,61,61,73,61,73,61,Manasvi Kaur,21469
75,80,85,80,75,80,75,85,Srishti Baluni,21470
72,84,80,84,72,84,72,80,Shruti Kohli,21471
52,62,57,62,52,62,52,57,Manas Mehta,21472
64,73,76,73,64,73,64,76,Kush Johar,21473
83,81,78,81,83,81,83,78,Love Singh,21474
54,66,62,66,54,66,54,62,Manasvi Kaur,21475
63,76,71,76,63,76,63,71,Sudarshan,21476
61,55,49,55,61,55,61,49,Yash Pandey,21477
76,71,60,71,76,71,76,60,Vaibhav Gill,21478
58,65,65,65,58,65,58,65,Aalia Verma,21479
61,69,68,69,61,69,61,68,Aryan Chauhan,21480
95,87,87,87,95,87,95,87,Kush Johar,21481
78,78,75,78,78,78,78,75,Love Singh,21482
56,46,44,46,56,46,56,44,Krinka Johar,21483
82,85,90,85,82,85,82,90,Jasmine Bhasin,21484
77,73,69,73,77,73,77,69,Tanish Pant,21485
80,93,90,93,80,93,80,90,Manasvi Kaur,21486
62,76,75,76,62,76,62,75,Srishti Baluni,21487
64,69,75,69,64,69,64,75,Shruti Kohli,21488
32,44,46,44,32,44,32,46,Manas Mehta,21489
66,63,62,63,66,63,66,62,Kush Johar,21490
87,85,79,85,87,85,87,79,Love Singh,21491
72,75,77,75,72,75,72,77,Manasvi Kaur,21492
83,76,76,76,83,76,83,76,Sudarshan,21493
62,62,68,62,62,62,62,68,Yash Pandey,21494
