logicDesign,dataStructure,C++,Cloud,CareerSkills,logicdesignLab,C++Lab,DSLab,name,rollno
67,74,78,74,67,74,67,78,Ayushi Verma,20538
85,100,100,100,85,100,85,100,Ayush Pandey,20539
64,59,60,59,64,59,64,60,Ayush Verma,20540
68,80,81,80,68,80,68,81,Akshansh Arora,20541
68,76,76,76,68,76,68,76,Saksham Bisht,20542
53,67,64,67,53,67,53,64,Mahima Rawat,20543
91,78,84,78,91,78,91,84,Isha Rawat,20544
57,50,49,50,57,50,57,49,Aarav Jain,20545
86,71,76,71,86,71,86,76,Kabir Wadhwa,20546
59,59,55,59,59,59,59,55,Ayaan Malhotra,20547
61,69,69,69,61,69,61,69,Vikrant Mehta,20548
62,59,55,59,62,59,62,55,Saisha Mehra,20549
70,57,60,57,70,57,70,60,Saumya Baluni,20550
51,39,42,39,51,39,51,42,Pankaj Uniyal,20551
63,60,62,60,63,60,63,62,Siddhartha Shinde,20552
55,54,54,54,55,54,55,54,Priyal Mehta,20553
49,53,60,53,49,53,49,60,Khushi Verma,20554
56,61,56,61,56,61,56,56,Tanya Joshi,20555
55,68,64,68,55,68,55,64,Riya Kapoor,20556
84,90,89,90,84,90,84,89,Tammanna Bhatia,20557
91,81,78,81,91,81,91,78,Mukul Kala,20558
91,92,94,92,91,92,91,94,Manpreet Kaur,20559
85,88,88,88,85,88,85,88,Ayushi Negi,20560
68,82,80,82,68,82,68,80,Ayushi Chandana,20561
71,71,68,71,71,71,71,68,Vandita Pujari,20562
58,61,65,61,58,61,58,65,Ayaan Kakkar,20563
91,88,84,88,91,88,91,84,Kashish Kakar,20564
70,80,88,80,70,80,70,88,Jadu Yadav,20565
83,92,94,92,83,92,83,94,Narendra Modi,20566
89,90,96,90,89,90,89,96,Amit Shah,20567
62,72,72,72,62,72,62,72,Rajnath,20568
54,59,51,59,54,59,54,51,Kangana Ranaut,20569
57,73,71,73,57,73,57,71,Justin Kaur,20570
60,69,64,69,60,69,60,64,selena Gomez,20571
67,67,67,67,67,67,67,67,Salmaan Khan,20572
78,66,65,66,78,66,78,65,Deepika Kakkar,20573
73,80,79,80,73,80,73,79,Kabir Singh,20574
79,87,82,87,79,87,79,82,Preeti Chawla,20575
78,86,84,86,78,86,78,84,Prakash Jha,20576
76,80,84,80,76,80,76,84,Vandita Pandit,20577
56,59,51,59,56,59,56,51,Tanya Joshi,20578
71,61,59,61,71,61,71,59,Riya Kapoor,20579
63,68,64,68,63,68,63,64,Tammanna Bhatia,20580
49,61,55,61,49,61,49,55,Mukul Kala,20581
76,73,79,73,76,73,76,79,Manpreet Kaur,20582
80,86,82,86,80,86,80,82,Ayushi Negi,20583
75,82,78,82,75,82,75,78,Ayushi Chandana,20584
70,69,64,69,70,69,70,64,Ayushi Rawat,20585
68,80,78,80,68,80,68,78,Ayushi Rautela,20586
48,40,38,40,48,40,48,38,Ayushi Verma,20587
40,48,47,48,40,48,40,47,Ayush Pandey,20588
82,80,78,80,82,80,82,78,Ayush Verma,20589
61,81,73,81,61,81,61,73,Akshansh Arora,20590
61,64,62,64,61,64,61,62,Saksham Bisht,20591
57,70,72,70,57,70,57,72,Mahima Rawat,20592
53,50,43,50,53,50,53,43,Isha Rawat,20593
55,66,71,66,55,66,55,71,Aarav Jain,20594
72,66,61,66,72,66,72,61,Kabir Wadhwa,20595
72,56,56,56,72,56,72,56,Ayaan Malhotra,20596
86,79,81,79,86,79,86,81,Siddhartha Shinde,20597
77,57,62,57,77,57,77,62,Priyal Mehta,20598
79,92,91,92,79,92,79,91,Khushi Verma,20599
44,56,61,56,44,56,44,61,Tanya Joshi,20600
90,87,86,87,90,87,90,86,Riya Kapoor,20601
66,58,59,58,66,58,66,59,Tammanna Bhatia,20602
77,92,88,92,77,92,77,88,Mukul Kala,20603
77,74,76,74,77,74,77,76,Manpreet Kaur,20604
88,95,92,95,88,95,88,92,Ayushi Negi,20605
90,74,68,74,90,74,90,68,Ayushi Chandana,20606
67,82,81,82,67,82,67,81,Vandita Pujari,20607
47,69,59,69,47,69,47,59,Ayaan Kakkar,20608
86,90,96,90,86,90,86,96,Kashish Kakar,20609
69,60,63,60,69,60,69,63,Jadu Yadav,20610
71,83,76,83,71,83,71,76,Narendra Modi,20611
62,71,67,71,62,71,62,67,Amit Shah,20612
54,76,77,76,54,76,54,77,Rajnath,20613
52,71,77,71,52,71,52,77,Kangana Ranaut,20614
62,63,65,63,62,63,62,65,Justin Kaur,20615
77,73,69,73,77,73,77,69,selena Gomez,20616
79,86,83,86,79,86,79,83,Salmaan Khan,20617
74,80,83,80,74,80,74,83,Deepika Kakkar,20618
65,77,73,77,65,77,65,73,Kabir Singh,20619
81,77,77,77,81,77,81,77,Preeti Chawla,20620
46,55,53,55,46,55,46,53,Prakash Jha,20621
66,62,68,62,66,62,66,68,Vandita Pandit,20622
54,51,43,51,54,51,54,43,Tanya Joshi,20623
74,70,75,70,74,70,74,75,Riya Kapoor,20624
63,69,73,69,63,69,63,73,Tammanna Bhatia,20625
78,84,88,84,78,84,78,88,Mukul Kala,20626
52,57,54,57,52,57,52,54,Manpreet Kaur,20627
58,68,68,68,58,68,58,68,Isha Rawat,20628
77,75,75,75,77,75,77,75,Aarav Jain,20629
92,86,85,86,92,86,92,85,Kabir Wadhwa,20630
77,82,87,82,77,82,77,87,Ayaan Malhotra,20631
77,83,86,83,77,83,77,86,Vikrant Mehta,20632
44,59,62,59,44,59,44,62,Saisha Mehra,20633
58,65,62,65,58,65,58,62,Saumya Baluni,20634
70,78,79,78,70,78,70,79,Pankaj Uniyal,20635
43,41,39,41,43,41,43,39,Siddhartha Shinde,20636
39,44,53,44,39,44,39,53,Yash Pandey,20637
72,85,78,85,72,85,72,78,Ankita Baluni,20638
80,90,84,90,80,90,80,84,Aruhi Rautela,20639
60,69,66,69,60,69,60,66,Ankush Rawat,20640
54,64,66,64,54,64,54,66,Sarim Saifi,20641
67,76,72,76,67,76,67,72,Mayank Jain,20642
57,52,53,52,57,52,57,53,Mudit Pathak,20643
50,58,57,58,50,58,50,57,Tara Sutaria,20644
44,39,35,39,44,39,44,35,Ranbir Kapoor,20645
94,77,81,77,94,77,94,81,Allia Bhatt,20646
37,59,59,59,37,59,37,59,Aalia Verma,20647
94,87,91,87,94,87,94,91,Aryan Chauhan,20648
62,78,79,78,62,78,62,79,Kush Johar,20649
59,69,68,69,59,69,59,68,Love Singh,20650
79,82,77,82,79,82,79,77,Krinka Johar,20651
100,95,99,95,100,95,100,99,Jasmine Bhasin,20652
84,79,84,79,84,79,84,84,Ayush Pandey,20653
54,62,53,62,54,62,54,53,Kanupriya  Modi,20654
59,63,62,63,59,63,59,62,Priyal Mehta,20655
77,92,97,92,77,92,77,97,Khushi Verma,20656
64,67,70,67,64,67,64,70,Tanya Joshi,20657
53,55,49,55,53,55,53,49,Riya Kapoor,20658
85,80,78,80,85,80,85,78,Tammanna Bhatia,20659
82,72,69,72,82,72,82,69,Mukul Kala,20660
76,84,80,84,76,84,76,80,Manpreet Kaur,20661
39,54,59,54,39,54,39,59,Ayushi Negi,20662
51,61,57,61,51,61,51,57,Ayushi Chandana,20663
60,59,55,59,60,59,60,55,Ayushi Rawat,20664
59,69,76,69,59,69,59,76,Ayushi Rautela,20665
89,94,89,94,89,94,89,89,Ayushi Verma,20666
65,79,86,79,65,79,65,86,Ayush Pandey,20667
70,68,67,68,70,68,70,67,Ayush Verma,20668
52,64,56,64,52,64,52,56,Akshansh Arora,20669
70,74,70,74,70,74,70,70,Saksham Bisht,20670
71,66,68,66,71,66,71,68,Mahima Rawat,20671
67,72,62,72,67,72,67,62,Isha Rawat,20672
74,88,81,88,74,88,74,81,Aarav Jain,20673
67,66,59,66,67,66,67,59,Kabir Wadhwa,20674
67,86,88,86,67,86,67,88,Ayaan Malhotra,20675
81,77,71,77,81,77,81,71,Vikrant Mehta,20676
93,100,100,100,93,100,93,100,Saisha Mehra,20677
65,62,60,62,65,62,65,60,Saumya Baluni,20678
62,68,61,68,62,68,62,61,Pankaj Uniyal,20679
97,93,90,93,97,93,97,90,Siddhartha Shinde,20680
75,74,66,74,75,74,75,66,Priyal Mehta,20681
58,68,70,68,58,68,58,70,Khushi Verma,20682
63,84,85,84,63,84,63,85,Tanya Joshi,20683
70,80,82,80,70,80,70,82,Riya Kapoor,20684
74,53,55,53,74,53,74,55,Tammanna Bhatia,20685
70,66,65,66,70,66,70,65,Mukul Kala,20686
60,56,44,56,60,56,60,44,Manpreet Kaur,20687
68,60,56,60,68,60,68,56,Ayushi Negi,20688
81,85,77,85,81,85,81,77,Ayushi Chandana,20689
78,89,87,89,78,89,78,87,Vandita Pujari,20690
80,74,77,74,80,74,80,77,Ayaan Kakkar,20691
76,67,61,67,76,67,76,61,Kashish Kakar,20692
60,64,64,64,60,64,60,64,Jadu Yadav,20693
61,65,65,65,61,65,61,65,Narendra Modi,20694
62,75,71,75,62,75,62,71,Amit Shah,20695
54,61,62,61,54,61,54,62,Rajnath,20696
41,56,51,56,41,56,41,51,Kangana Ranaut,20697
76,72,74,72,76,72,76,74,Justin Kaur,20698
80,73,76,73,80,73,80,76,selena Gomez,20699
62,68,62,68,62,68,62,62,Salmaan Khan,20700
52,48,44,48,52,48,52,44,Deepika Kakkar,20701
64,63,58,63,64,63,64,58,Kabir Singh,20702
42,52,46,52,42,52,42,46,Preeti Chawla,20703
84,78,73,78,84,78,84,73,Prakash Jha,20704
40,67,60,67,40,67,40,60,Vandita Pandit,20705
78,73,76,73,78,73,78,76,Tanya Joshi,20706
78,77,77,77,78,77,78,77,Riya Kapoor,20707
75,73,68,73,75,73,75,68,Tammanna Bhatia,20708
64,85,82,85,64,85,64,82,Mukul Kala,20709
76,78,84,78,76,78,76,84,Manpreet Kaur,20710
74,83,84,83,74,83,74,84,Ayushi Negi,20711
82,89,87,89,82,89,82,87,Ayushi Chandana,20712
70,85,87,85,70,85,70,87,Ayushi Rawat,20713
87,84,77,84,87,84,87,77,Ayushi Rautela,20714
72,72,70,72,72,72,72,70,Ayushi Verma,20715
68,71,78,71,68,71,68,78,Ayush Pandey,20716
58,67,64,67,58,67,58,64,Ayush Verma,20717
100,100,100,100,100,100,100,100,Akshansh Arora,20718
50,46,45,46,50,46,50,45,Saksham Bisht,20719
87,70,81,70,87,70,87,81,Mahima Rawat,20720
68,76,71,76,68,76,68,71,Isha Rawat,20721
63,82,75,82,63,82,63,75,Aarav Jain,20722
70,76,75,76,70,76,70,75,Kabir Wadhwa,20723
87,82,70,82,87,82,87,70,Ayaan Malhotra,20724
71,84,82,84,71,84,71,82,Siddhartha Shinde,20725
41,45,45,45,41,45,41,45,Priyal Mehta,20726
85,85,88,85,85,85,85,88,Khushi Verma,20727
56,80,79,80,56,80,56,79,Tanya Joshi,20728
63,62,60,62,63,62,63,60,Riya Kapoor,20729
63,63,54,63,63,63,63,54,Tammanna Bhatia,20730
71,64,57,64,71,64,71,57,Mukul Kala,20731
23,36,32,36,23,36,23,32,Manpreet Kaur,20732
90,92,90,92,90,92,90,90,Ayushi Negi,20733
78,76,79,76,78,76,78,79,Ayushi Chandana,20734
67,65,67,65,67,65,67,67,Vandita Pujari,20735
74,68,66,68,74,68,74,66,Ayaan Kakkar,20736
61,77,77,77,61,77,61,77,Kashish Kakar,20737
80,83,75,83,80,83,80,75,Jadu Yadav,20738
80,86,83,86,80,86,80,83,Narendra Modi,20739
63,73,72,73,63,73,63,72,Amit Shah,20740
59,75,77,75,59,75,59,77,Rajnath,20741
89,89,91,89,89,89,89,91,Kangana Ranaut,20742
64,71,80,71,64,71,64,80,Justin Kaur,20743
87,80,81,80,87,80,87,81,selena Gomez,20744
58,61,53,61,58,61,58,53,Salmaan Khan,20745
58,65,64,65,58,65,58,64,Deepika Kakkar,20746
65,72,70,72,65,72,65,70,Kabir Singh,20747
59,70,75,70,59,70,59,75,Preeti Chawla,20748
79,78,71,78,79,78,79,71,Prakash Jha,20749
77,87,87,87,77,87,77,87,Vandita Pandit,20750
85,82,82,82,85,82,85,82,Tanya Joshi,20751
37,47,42,47,37,47,37,42,Riya Kapoor,20752
43,31,28,31,43,31,43,28,Tammanna Bhatia,20753
78,65,54,65,78,65,78,54,Mukul Kala,20754
49,67,71,67,49,67,49,71,Manpreet Kaur,20755
68,84,79,84,68,84,68,79,Mannat Kaur,20756
58,59,59,59,58,59,58,59,anshika Chawla,20757
63,68,64,68,63,68,63,64,Ranveer Singh,20758
68,69,76,69,68,69,68,76,Bhagwaan Singh,20759
79,83,80,83,79,83,79,80,Bahadur Singh,20760
75,86,90,86,75,86,75,90,Arav Pandit,20761
78,76,82,76,78,76,78,82,Suyash Singh,20762
87,76,80,76,87,76,87,80,Mayank Bhardwaj,20763
64,80,84,80,64,80,64,84,Chaaru Madan,20764
62,77,70,77,62,77,62,70,Anirudh Madan,20765
48,50,48,50,48,50,48,48,Ayush Verma,20766
83,78,81,78,83,78,83,81,Ayush rawat,20767
75,93,91,93,75,93,75,91,Ayush Chawla,20768
49,51,45,51,49,51,49,45,Ayush Madan,20769
46,56,43,56,46,56,46,43,Ayush Chandana,20770
71,60,62,60,71,60,71,62,Ayush Kakkar,20771
61,64,65,64,61,64,61,65,Ayush Pandit,20772
64,77,74,77,64,77,64,74,Ayush Kapoor,20773
92,84,85,84,92,84,92,85,Vamika Kohli,20774
62,73,77,73,62,73,62,77,Anushka Sharma,20775
91,90,93,90,91,90,91,93,Anushka Jain,20776
71,70,74,70,71,70,71,74,Anushka Pandey,20777
94,93,87,93,94,93,94,87,Anush Kala,20778
64,60,62,60,64,60,64,62,Amit Trivedi,20779
34,47,42,47,34,47,34,42,Sahap Kapoor,20780
73,63,63,63,73,63,73,63,Sapna Gupta,20781
82,92,97,92,82,92,82,97,Shubhangi Gaur,20782
70,68,76,68,70,68,70,76,Shammi Singh,20783
46,57,52,57,46,57,46,52,Bumrah,20784
70,61,63,61,70,61,70,63,Hardik Pandya,20785
40,43,42,43,40,43,40,42,Sachin Tendulakr,20786
76,73,69,73,76,73,76,69,Virat Kohli,20787
51,65,68,65,51,65,51,68,Kareena,20788
77,92,91,92,77,92,77,91,Karishma Shetty,20789
60,57,61,57,60,57,60,61,Shilpa Shetty,20790
73,67,63,67,73,67,73,63,Raj Kundra,20791
75,81,78,81,75,81,75,78,Kavita Seth,20792
78,87,85,87,78,87,78,85,Manik ,20793
62,68,73,68,62,68,62,73,Akansha Gaur,20794
87,73,78,73,87,73,87,78,Ananya Gaur,20795
72,84,79,84,72,84,72,79,Kamal Kahn,20796
47,40,40,40,47,40,47,40,Raju ,20797
52,73,71,73,52,73,52,71,Shammi Singh,20798
100,91,93,91,100,91,100,93,Kanupriya  Modi,20799
53,60,57,60,53,60,53,57,Tammanna Bhatia,20800
36,40,40,40,36,40,36,40,Mukul Kala,20801
68,77,77,77,68,77,68,77,Manpreet Kaur,20802
41,48,43,48,41,48,41,43,Ayushi Negi,20803
54,57,54,57,54,57,54,54,Ayushi Chandana,20804
75,76,74,76,75,76,75,74,Vandita Pujari,20805
49,57,62,57,49,57,49,62,Ayaan Kakkar,20806
29,15,22,15,29,15,29,22,Kashish Kakar,20807
69,80,77,80,69,80,69,77,Jadu Yadav,20808
55,60,57,60,55,60,55,57,Narendra Modi,20809
73,65,63,65,73,65,73,63,Amit Shah,20810
79,74,64,74,79,74,79,64,Rajnath,20811
45,54,51,54,45,54,45,51,Kangana Ranaut,20812
52,55,54,55,52,55,52,54,Justin Kaur,20813
68,64,62,64,68,64,68,62,selena Gomez,20814
77,72,70,72,77,72,77,70,Salmaan Khan,20815
79,90,90,90,79,90,79,90,Deepika Kakkar,20816
79,69,72,69,79,69,79,72,Kabir Singh,20817
65,65,65,65,65,65,65,65,Preeti Chawla,20818
76,69,63,69,76,69,76,63,Mukul Kala,20819
81,89,88,89,81,89,81,88,Manpreet Kaur,20820
51,62,62,62,51,62,51,62,Ayushi Negi,20821
77,80,91,80,77,80,77,91,Ayushi Chandana,20822
67,84,84,84,67,84,67,84,Vandita Pujari,20823
60,60,54,60,60,60,60,54,Ayaan Kakkar,20824
39,54,55,54,39,54,39,55,Kashish Kakar,20825
80,80,87,80,80,80,80,87,Jadu Yadav,20826
79,77,78,77,79,77,79,78,Narendra Modi,20827
63,65,58,65,63,65,63,58,Amit Shah,20828
38,57,53,57,38,57,38,53,Rajnath,20829
71,84,87,84,71,84,71,87,Kangana Ranaut,20830
72,75,68,75,72,75,72,68,Justin Kaur,20831
45,60,54,60,45,60,45,54,selena Gomez,20832
84,66,67,66,84,66,84,67,Salmaan Khan,20833
86,79,79,79,86,79,86,79,Deepika Kakkar,20834
63,62,65,62,63,62,63,65,Kabir Singh,20835
56,62,61,62,56,62,56,61,Preeti Chawla,20836
61,77,67,77,61,77,61,67,Prakash Jha,20837
69,56,56,56,69,56,69,56,Vandita Pandit,20838
69,67,67,67,69,67,69,67,Tanya Joshi,20839
50,51,48,51,50,51,50,48,Riya Kapoor,20840
36,34,26,34,36,34,36,26,Tammanna Bhatia,20841
84,75,72,75,84,75,84,72,Mukul Kala,20842
90,98,94,98,90,98,90,94,Manpreet Kaur,20843
72,66,70,66,72,66,72,70,Ayushi Negi,20844
62,71,66,71,62,71,62,66,Ayushi Chandana,20845
79,75,72,75,79,75,79,72,Ayushi Rawat,20846
63,56,60,56,63,56,63,60,Ayushi Rautela,20847
78,61,61,61,78,61,78,61,Ayushi Verma,20848
41,47,56,47,41,47,41,56,Ayush Pandey,20849
84,91,92,91,84,91,84,92,Ayush Verma,20850
70,65,64,65,70,65,70,64,Akshansh Arora,20851
73,85,87,85,73,85,73,87,Saksham Bisht,20852
85,73,74,73,85,73,85,74,Mahima Rawat,20853
78,74,78,74,78,74,78,78,Isha Rawat,20854
73,65,65,65,73,65,73,65,Aarav Jain,20855
66,78,69,78,66,78,66,69,Kabir Wadhwa,20856
52,47,53,47,52,47,52,53,Ayaan Malhotra,20857
59,53,47,53,59,53,59,47,Siddhartha Shinde,20858
77,81,83,81,77,81,77,83,Priyal Mehta,20859
80,68,74,68,80,68,80,74,Khushi Verma,20860
66,79,74,79,66,79,66,74,Tanya Joshi,20861
50,68,63,68,50,68,50,63,Riya Kapoor,20862
71,66,63,66,71,66,71,63,Tammanna Bhatia,20863
62,77,66,77,62,77,62,66,Mukul Kala,20864
92,96,97,96,92,96,92,97,Manpreet Kaur,20865
62,71,67,71,62,71,62,67,Isha Rawat,20866
65,67,69,67,65,67,65,69,Aarav Jain,20867
81,82,86,82,81,82,81,86,Kabir Wadhwa,20868
68,77,81,77,68,77,68,81,Ayaan Malhotra,20869
38,35,37,35,38,35,38,37,#NAME?,20870
74,79,69,79,74,79,74,69,Saisha Mehra,20871
86,83,72,83,86,83,86,72,Saumya Baluni,20872
76,68,64,68,76,68,76,64,Pankaj Uniyal,20873
62,66,65,66,62,66,62,65,Siddhartha Shinde,20874
75,82,80,82,75,82,75,80,Yash Pandey,20875
91,100,100,100,91,100,91,100,Ankita Baluni,20876
86,84,76,84,86,84,86,76,Aruhi Rautela,20877
74,87,91,87,74,87,74,91,Ankush Rawat,20878
72,69,65,69,72,69,72,65,Sarim Saifi,20879
89,100,100,100,89,100,89,100,Mayank Jain,20880
82,67,69,67,82,67,82,69,Mudit Pathak,20881
83,90,83,90,83,90,83,83,Tara Sutaria,20882
65,72,71,72,65,72,65,71,Ranbir Kapoor,20883
80,71,67,71,80,71,80,67,Allia Bhatt,20884
94,79,79,79,94,79,94,79,Aalia Verma,20885
64,69,70,69,64,69,64,70,Aryan Chauhan,20886
33,47,54,47,33,47,33,54,Kush Johar,20887
61,58,62,58,61,58,61,62,Love Singh,20888
40,54,46,54,40,54,40,46,Krinka Johar,20889
64,61,63,61,64,61,64,63,Jasmine Bhasin,20890
80,93,94,93,80,93,80,94,Ayush Pandey,20891
73,76,72,76,73,76,73,72,Kanupriya  Modi,20892
86,79,75,79,86,79,86,75,#NAME?,20893
85,79,72,79,85,79,85,72,Khushi Verma,20894
48,52,50,52,48,52,48,50,Tanya Joshi,20895
69,80,86,80,69,80,69,86,Riya Kapoor,20896
58,81,80,81,58,81,58,80,Tammanna Bhatia,20897
89,90,85,90,89,90,89,85,Rahul Gandhi,20898
69,76,65,76,69,76,69,65,Sonia Gandh,20899
72,82,80,82,72,82,72,80,Priyanka Gandhi,20900
50,59,53,59,50,59,50,53,Priyanka Chopra,20901
77,82,76,82,77,82,77,76,Rahul Wadra,20902
59,63,56,63,59,63,59,56,Kiran Wadra,20903
67,75,80,75,67,75,67,80,Isha Rawat,20904
54,43,37,43,54,43,54,37,Aarav Jain,20905
87,86,91,86,87,86,87,91,Kabir Wadhwa,20906
41,47,50,47,41,47,41,50,Ayaan Malhotra,20907
78,77,78,77,78,77,78,78,Vikrant Mehta,20908
66,75,87,75,66,75,66,87,Saisha Mehra,20909
63,71,74,71,63,71,63,74,Saumya Baluni,20910
49,60,65,60,49,60,49,65,Pankaj Uniyal,20911
71,81,74,81,71,81,71,74,Siddhartha Shinde,20912
100,93,92,93,100,93,100,92,Yash Pandey,20913
80,94,92,94,80,94,80,92,Ankita Baluni,20914
67,77,77,77,67,77,67,77,Aruhi Rautela,20915
62,74,68,74,62,74,62,68,Ankush Rawat,20916
54,54,51,54,54,54,54,51,Sarim Saifi,20917
82,84,80,84,82,84,82,80,Mayank Jain,20918
48,65,68,65,48,65,48,68,Mudit Pathak,20919
87,92,90,92,87,92,87,90,Tara Sutaria,20920
44,48,43,48,44,48,44,43,Ranbir Kapoor,20921
56,68,66,68,56,68,56,66,Allia Bhatt,20922
91,96,93,96,91,96,91,93,Aalia Verma,20923
65,83,83,83,65,83,65,83,Aryan Chauhan,20924
88,96,93,96,88,96,88,93,Priyal Mehta,20925
77,73,63,73,77,73,77,63,Khushi Verma,20926
77,84,78,84,77,84,77,78,Tanya Joshi,20927
47,54,47,54,47,54,47,47,Riya Kapoor,20928
90,90,87,90,90,90,90,87,Tammanna Bhatia,20929
48,47,44,47,48,47,48,44,Rahul Gandhi,20930
65,67,67,67,65,67,65,67,Sonia Gandh,20931
84,59,70,59,84,59,84,70,Priyanka Gandhi,20932
88,93,99,93,88,93,88,99,Priyanka Chopra,20933
87,75,75,75,87,75,87,75,Rahul Wadra,20934
92,100,100,100,92,100,92,100,Kiran Wadra,20935
61,79,78,79,61,79,61,78,Isha Rawat,20936
71,58,51,58,71,58,71,51,Aarav Jain,20937
73,74,79,74,73,74,73,79,Kabir Wadhwa,20938
57,50,49,50,57,50,57,49,Ayaan Malhotra,20939
84,82,79,82,84,82,84,79,Vikrant Mehta,20940
39,29,32,29,39,29,39,32,Saisha Mehra,20941
83,84,86,84,83,84,83,86,Saumya Baluni,20942
59,55,58,55,59,55,59,58,Pankaj Uniyal,20943
61,71,73,71,61,71,61,73,Siddhartha Shinde,20944
90,97,100,97,90,97,90,100,Yash Pandey,20945
70,73,74,73,70,73,70,74,Ankita Baluni,20946
42,55,49,55,42,55,42,49,Vikrant Mehta,20947
87,100,95,100,87,100,87,95,Saisha Mehra,20948
72,77,83,77,72,77,72,83,Saumya Baluni,20949
73,70,70,70,73,70,73,70,Pankaj Uniyal,20950
42,38,34,38,42,38,42,34,Siddhartha Shinde,20951
66,78,82,78,66,78,66,82,Yash Pandey,20952
55,68,73,68,55,68,55,73,Ankita Baluni,20953
74,70,62,70,74,70,74,62,Aruhi Rautela,20954
66,78,82,78,66,78,66,82,Ankush Rawat,20955
62,65,68,65,62,65,62,68,Sarim Saifi,20956
72,72,71,72,72,72,72,71,Mayank Jain,20957
69,71,76,71,69,71,69,76,Mudit Pathak,20958
52,57,56,57,52,57,52,56,Tara Sutaria,20959
86,82,76,82,86,82,86,76,Ranbir Kapoor,20960
63,79,78,79,63,79,63,78,Allia Bhatt,20961
86,74,74,74,86,74,86,74,Aalia Verma,20962
89,69,63,69,89,69,89,63,Aryan Chauhan,20963
60,56,60,56,60,56,60,60,Kush Johar,20964
77,84,85,84,77,84,77,85,Love Singh,20965
54,55,67,55,54,55,54,67,Krinka Johar,20966
39,50,47,50,39,50,39,47,Jasmine Bhasin,20967
77,72,69,72,77,72,77,69,Tanish Pant,20968
73,61,61,61,73,61,73,61,Manasvi Kaur,20969
75,80,85,80,75,80,75,85,Srishti Baluni,20970
72,84,80,84,72,84,72,80,Shruti Kohli,20971
52,62,57,62,52,62,52,57,Manas Mehta,20972
64,73,76,73,64,73,64,76,Kush Johar,20973
83,81,78,81,83,81,83,78,Love Singh,20974
54,66,62,66,54,66,54,62,Manasvi Kaur,20975
63,76,71,76,63,76,63,71,Sudarshan,20976
61,55,49,55,61,55,61,49,Yash Pandey,20977
76,71,60,71,76,71,76,60,Vaibhav Gill,20978
58,65,65,65,58,65,58,65,Aalia Verma,20979
61,69,68,69,61,69,61,68,Aryan Chauhan,20980
95,87,87,87,95,87,95,87,Kush Johar,20981
78,78,75,78,78,78,78,75,Love Singh,20982
56,46,44,46,56,46,56,44,Krinka Johar,20983
82,85,90,85,82,85,82,90,Jasmine Bhasin,20984
77,73,69,73,77,73,77,69,Tanish Pant,20985
80,93,90,93,80,93,80,90,Manasvi Kaur,20986
62,76,75,76,62,76,62,75,Srishti Baluni,20987
64,69,75,69,64,69,64,75,Shruti Kohli,20988
32,44,46,44,32,44,32,46,Manas Mehta,20989
66,63,62,63,66,63,66,62,Kush Johar,20990
87,85,79,85,87,85,87,79,Love Singh,20991
72,75,77,75,72,75,72,77,Manasvi Kaur,20992
83,76,76,76,83,76,83,76,Sudarshan,20993
62,62,68,62,62,62,62,68,Yash Pandey,20994
